"750321","1975-03-21","1975-03-21","","宝満山","","","",""
"750429","1975-04-29","1975-04-29","","丹沢表尾根","","","",""
"750608","1975-06-08","1975-06-08","","大山（丹沢山地）","","","",""
"750727","1975-07-27","1975-07-28","","谷川岳・苗場山","","","",""
"750914","1975-09-14","1975-09-15","","塔ノ岳〜丹沢山〜蛭ヶ岳〜檜洞丸","","","",""
"750928","1975-09-28","1975-09-28","","葛葉川本谷","","","",""
"751109","1975-11-09","1975-11-09","","高畑倉山〜倉岳山","","","",""
"751130","1975-11-30","1975-11-30","","モミソ沢","","","",""
"760102","1976-01-02","1976-01-02","","御岳山","","","",""
"760725","1976-07-25","1976-07-25","","鷹ノ巣山","","","",""
"760815","1976-08-15","1976-08-17","","西沢渓谷・甲武信岳〜十文字峠","","","",""
"760923","1976-09-23","1976-09-23","","御前山","","","",""
"761010","1976-10-10","1976-10-10","","蕎麦粒山〜川乗山","","","",""
"761103","1976-11-03","1976-11-03","","高柄山","","","",""
"770306","1977-03-06","1977-03-06","","日川渓谷","","","",""
"770326","1977-03-26","1977-03-28","","御正体山〜石割山・杓子山","","","",""
"770501","1977-05-01","1977-05-01","","酉谷山","","","",""
"770730","1977-07-30","1977-08-06","","北海道旅行：旭岳、羅臼岳","","","",""
"771009","1977-10-09","1977-10-10","","両神山","","","",""
"771123","1977-11-23","1977-11-23","","三頭山","","","",""
"780116","1978-01-16","1978-01-16","","高尾山〜陣馬山","","","",""
"780401","1978-04-01","1978-04-02","","大菩薩嶺","","","",""
"780805","1978-08-05","1978-08-07","","甲斐駒ヶ岳〜仙丈ヶ岳","","","",""
"780830","1978-08-30","1978-08-30","","三ッ峠","","","",""
"780924","1978-09-24","1978-09-24","","乾徳山〜黒金山","","","",""
"790327","1979-03-27","1979-03-28","","小金沢山〜黒岳","","","",""
"790506","1979-05-06","1979-05-06","","滝子山〜大谷ヶ丸","","","",""
"790712","1979-07-12","1979-07-12","","越前岳","","","",""
"790923","1979-09-23","1979-09-23","","盆掘川石津窪","","","",""
"800402","1980-04-02","1980-04-04","","雲取山〜飛竜山","","","",""
"800622","1980-06-22","1980-06-22","","新茅ノ沢・前大沢","","","",""
"800713","1980-07-13","1980-07-13","","源次郎沢・戸沢","","","",""
"801002","1980-10-02","1980-10-03","","大谷ヶ丸〜黒岳〜雁ヶ腹摺山","","","",""
"801228","1980-12-28","1980-12-28","","大菩薩峠","","","",""
"810301","1981-03-01","1981-03-01","","権現山〜扇山","","","",""
"810419","1981-04-19","1981-04-19","","十二ヶ岳〜鬼ヶ岳","","","",""
"810426","1981-04-26","1981-04-26","","四十八瀬川小草平ノ沢","","","",""
"810712","1981-07-12","1981-07-12","","日原川鷹ノ巣谷","","","",""
"810721","1981-07-21","1981-07-24","","越後三山","","","",""
"810906","1981-09-06","1981-09-06","","水根沢谷","","","",""
"811025","1981-10-25","1981-10-25","","矢平山","","","",""
"811231","1981-12-31","1982-01-02","","霧積温泉から剣ノ峰・鼻曲山","","","",""
"820417","1982-04-17","1982-04-18","","女峰山","","","",""
"820509","1982-05-09","1982-05-09","","盆掘川棡葉窪","","","",""
"820704","1982-07-04","1982-07-04","","丹沢三ッ峰","","","",""
"820714","1982-07-14","1982-07-16","","荒沢岳〜兎岳〜丹後山","","","",""
"820802","1982-08-02","1982-08-03","","妙高山〜火打山","","","",""
"820808","1982-08-08","1982-08-08","","飯縄山","","","",""
"821231","1982-12-31","1983-01-02","","岩下温泉から兜山・岩堂峠","","","",""
"830626","1983-06-26","1983-06-26","","大山川（丹沢山地）","","","",""
"830721","1983-07-21","1983-07-27","","石狩岳〜トムラウシ山〜大雪山","","","",""
"831002","1983-10-02","1983-10-02","","畦ヶ丸","","","",""
"840505","1984-05-05","1984-05-06","","未丈ヶ岳（敗退）","","","",""
"840729","1984-07-29","1984-08-01","","ペテガリ岳〜ヤオロマップ岳〜コイカクシュサツナイ岳","","","",""
"840901","1984-09-01","1984-09-02","","赤岳〜権現岳","","","",""
"840908","1984-09-08","1984-09-09","","火打山","","","",""
"841209","1984-12-09","1984-12-09","","男体山（日光）","","","",""
"841216","1984-12-16","1984-12-16","","日光白根山","","","",""
"841231","1984-12-31","1985-01-02","","湯船温泉から矢倉岳・不老山〜湯船山","","","",""
"850519","1985-05-19","1985-05-19","","太郎山","","","",""
"850602","1985-06-02","1985-06-02","","大真名子山〜小真名子山","","","",""
"850728","1985-07-28","1985-08-03","","カムイエクウチカウシ山〜エサオマントッタベツ山〜幌尻岳","","","",""
"850827","1985-08-27","1985-08-28","","赤岳〜横岳","","","",""
"860427","1986-04-27","1986-04-27","","十枚山","","","",""
"860430","1986-04-30","1986-05-03","","妙高山スキー：澄川、焼山北面","","","",""
"860601","1986-06-01","1986-06-01","","塔ノ岳","","","",""
"860608","1986-06-08","1986-06-08","","玄倉川女郎小屋沢","","","",""
"860720","1986-07-20","1986-07-20","","谷太郎川鳥屋待沢","","","",""
"860727","1986-07-27","1986-07-30","","ヌピナイ川〜ピリカヌプリ","","","",""
"860906","1986-09-06","1986-09-07","","平標山〜仙ノ倉山〜谷川岳","","","",""
"860914","1986-09-14","1986-09-15","","鬼怒川野門沢","","","",""
"860929","1986-09-29","1986-09-29","","ニペソツ山","","","",""
"861010","1986-10-10","1986-10-12","","高谷池ヒュッテ","","","",""
"861231","1986-12-31","1987-01-02","","大子温泉から八溝山・男体山","","","",""
"870425","1987-04-25","1987-04-29","","妙高山スキー：惣兵衛落、澄川、焼山北面","","","",""
"870531","1987-05-31","1987-05-31","","海沢","","","",""
"870607","1987-06-07","1987-06-07","","小川谷廊下","","","",""
